-222.509,283.980,-90.543   -40.613,319.429,-97.683   -179.612,288.769,-36.097
-222.503,283.973,-90.452   -40.615,319.432,-97.732   -179.604,288.928,-35.906
-222.434,283.919,-91.570   -40.616,319.435,-97.723   -179.443,288.026,-37.034
-222.387,283.964,-91.772   -40.617,319.412,-97.753   -179.386,287.965,-37.205
-222.461,283.959,-92.001   -40.617,319.412,-97.753   -179.386,287.965,-37.205
-222.457,283.953,-91.671   -40.605,319.420,-97.782   -179.476,288.041,-37.075
-222.489,283.977,-91.549   -40.597,319.426,-97.711   -179.520,288.098,-37.024
-222.413,283.943,-93.277   -40.619,319.387,-97.740   -179.321,286.829,-38.723
-222.349,283.963,-92.694   -40.613,319.440,-97.690   -179.287,287.196,-38.191
-222.490,283.956,-90.316   -40.614,319.400,-97.714   -179.606,289.030,-35.788
-222.506,283.977,-90.797   -40.595,319.429,-97.552   -179.582,288.538,-36.431
-222.409,283.951,-91.441   -40.616,319.406,-97.811   -179.438,288.249,-36.816
-222.473,283.970,-91.625   -40.612,319.426,-97.703   -179.482,288.029,-37.108
-222.506,283.984,-91.752   -40.591,319.425,-97.579   -179.519,287.852,-37.359
-222.451,283.963,-91.552   -40.605,319.449,-97.727   -179.472,288.072,-37.011
-222.415,283.959,-92.288   -40.620,319.393,-97.741   -179.378,287.583,-37.733
-222.506,283.972,-91.959   -40.591,319.423,-97.603   -179.508,287.706,-37.542
-222.485,283.990,-91.868   -40.609,319.428,-97.709   -179.480,287.868,-37.345
-222.464,283.943,-91.673   -40.609,319.376,-97.679   -179.477,287.997,-37.180
-222.427,283.961,-90.874   -40.609,319.422,-97.706   -179.498,288.589,-36.354
-222.463,283.950,-92.359   -40.610,319.403,-97.678   -179.427,287.461,-37.867
-222.469,283.987,-92.097   -40.608,319.428,-97.708   -179.451,287.693,-37.575
-222.420,283.946,-92.957   -40.612,319.420,-97.723   -179.349,287.026,-38.420
-222.385,283.960,-92.172   -40.618,319.394,-97.673   -179.353,287.618,-37.685
-222.484,283.965,-91.800   -40.610,319.438,-97.735   -179.485,287.904,-37.251
-222.375,284.005,-92.713   -40.611,319.421,-97.613   -179.311,287.185,-38.285
-222.476,283.950,-91.514   -40.613,319.405,-97.779   -179.500,288.169,-36.921
-222.466,283.986,-92.278   -40.616,319.396,-97.779   -179.436,287.641,-37.685
-222.383,283.945,-93.134   -40.614,319.386,-97.761   -179.305,286.952,-38.560
-222.316,283.971,-92.880   -40.617,319.387,-97.718   -179.246,287.138,-38.348
-222.467,283.959,-91.710   -40.599,319.426,-97.670   -179.481,287.928,-37.226
-222.460,283.983,-92.743   -40.610,319.412,-97.774   -179.405,287.270,-38.155
-222.474,283.981,-92.170   -40.608,319.420,-97.657   -179.449,287.600,-37.700
-222.474,283.981,-92.170   -40.604,319.420,-97.689   -179.455,287.624,-37.668
-222.507,283.989,-92.567   -40.604,319.417,-97.706   -179.464,287.351,-38.047
-222.431,283.942,-90.737   -40.604,319.417,-97.706   -179.464,287.351,-38.047
-222.389,283.945,-92.298   -40.613,319.442,-97.680   -179.350,287.465,-37.805
-222.374,283.960,-93.173   -40.614,319.431,-97.764   -179.290,286.898,-38.595
-222.462,283.947,-92.168   -40.610,319.415,-97.675   -179.436,287.587,-37.679
-222.459,283.985,-92.728   -40.610,319.440,-97.693   -179.398,287.194,-38.222
-222.431,283.940,-91.313   -40.611,319.446,-97.688   -179.461,288.202,-36.811
-222.376,283.960,-92.427   -40.610,319.426,-97.712   -179.335,287.423,-37.902
-222.459,283.957,-92.457   -40.613,319.432,-97.746   -179.415,287.417,-37.897
-222.448,283.967,-93.228   -40.615,319.403,-97.790   -179.364,286.911,-38.624
-222.448,283.931,-92.143   -40.615,319.411,-97.739   -179.423,287.643,-37.591
-222.394,283.957,-91.362   -40.614,319.416,-97.783   -179.427,288.283,-36.765
-222.434,283.954,-92.836   -40.615,319.415,-97.760   -179.369,287.158,-38.262
-222.418,283.992,-93.345   -40.617,319.406,-97.759   -179.325,286.821,-38.773
-222.400,283.939,-92.339   -40.620,319.393,-97.763   -179.361,287.542,-37.762
-222.387,283.967,-91.607   -40.611,319.383,-97.685   -179.402,288.069,-37.108
-222.440,283.978,-92.633   -40.607,319.381,-97.732   -179.395,287.345,-38.088
-222.508,283.946,-92.809   -40.597,319.393,-97.711   -179.461,287.153,-38.284
-222.405,283.934,-92.195   -40.611,319.434,-97.699   -179.376,287.554,-37.682
-222.388,283.959,-91.690   -40.632,319.382,-97.872   -179.390,288.142,-37.003
-222.451,283.958,-91.384   -40.619,319.416,-97.781   -179.478,288.266,-36.789
-222.449,283.994,-91.592   -40.618,319.406,-97.759   -179.460,288.140,-37.019
-222.463,283.986,-91.090   -40.615,319.415,-97.735   -179.513,288.482,-36.542
-222.412,283.942,-92.350   -40.619,319.402,-97.731   -179.370,287.503,-37.804
-222.332,283.964,-91.109   -40.618,319.441,-97.691   -179.372,288.386,-36.604
-222.469,283.953,-91.385   -40.618,319.441,-97.691   -179.372,288.386,-36.604
-222.471,283.956,-91.360   -40.621,319.396,-97.736   -179.496,288.269,-36.810
-222.467,283.989,-91.909   -40.610,319.431,-97.738   -179.461,287.855,-37.358
-222.467,283.993,-91.873   -40.610,319.431,-97.738   -179.461,287.855,-37.358
-222.468,283.991,-91.912   -40.620,319.401,-97.804   -179.459,287.936,-37.293
-222.452,283.908,-91.254   -40.607,319.433,-97.676   -179.490,288.218,-36.764
-222.415,284.000,-92.239   -40.611,319.426,-97.729   -179.387,287.617,-37.697
-222.458,283.957,-91.743   -40.606,319.449,-97.676   -179.461,287.883,-37.253
-222.430,283.988,-93.147   -40.611,319.437,-97.667   -179.345,286.865,-38.666
-222.397,283.931,-92.735   -40.618,319.393,-97.708   -179.333,287.193,-38.213
